date,weight
15-Jun,0
16-Jun,0
17-Jun,0
18-Jun,-1
19-Jun,-1
20-Jun,-1
21-Jun,-1
22-Jun,-1
23-Jun,-1
24-Jun,-1
25-Jun,-1
26-Jun,2
27-Jun,2
28-Jun,4
29-Jun,6
30-Jun,7
1-Jul,7
2-Jul,7
3-Jul,7
4-Jul,9
5-Jul,11
6-Jul,12
7-Jul,13
8-Jul,15
9-Jul,16
10-Jul,19
11-Jul,21
12-Jul,26
13-Jul,29
14-Jul,30
15-Jul,35
16-Jul,42
17-Jul,47
18-Jul,52
19-Jul,57
20-Jul,62
21-Jul,66
22-Jul,70
23-Jul,74
24-Jul,79
25-Jul,80
26-Jul,86
27-Jul,91
28-Jul,96
29-Jul,101
30-Jul,105
31-Jul,105
1-Aug,110
2-Aug,109
3-Aug,110
4-Aug,111
5-Aug,113
6-Aug,116
7-Aug,119
8-Aug,120
9-Aug,123
10-Aug,122
11-Aug,122
12-Aug,123
13-Aug,122
14-Aug,124
15-Aug,124
16-Aug,126
17-Aug,128
18-Aug,125
19-Aug,124
20-Aug,123
21-Aug,121
22-Aug,121
23-Aug,121
24-Aug,121
25-Aug,121
26-Aug,119.5
27-Aug,119
28-Aug,119
29-Aug,120
30-Aug,120
31-Aug,120
1-Sep,121
2-Sep,122
3-Sep,122
4-Sep,123
5-Sep,120
6-Sep,121
7-Sep,120
8-Sep,120
9-Sep,119
10-Sep,119
11-Sep,118
12-Sep,117
13-Sep,117
14-Sep,117
15-Sep,116
16-Sep,116
17-Sep,115
18-Sep,115
19-Sep,114
20-Sep,113
21-Sep,112
22-Sep,112
23-Sep,112
